"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"Latitude_WGS84_en";"Name_en";"AdmArea_en";"District_en";"Location_en";"NumberOfAccessPoints_en";"WiFiName_en";"CoverageArea_en";"FunctionFlag_en";"AccessFlag_en";"Password_en";"Longitude_WGS84_en";"geodata_center";"geoarea";
"55.769922805";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679031449";"276298128";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.768838443";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307228";"276298129";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.76882946";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307532";"276298130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.736601047";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634557171";"276298133";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.736592241";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634573405";"276298134";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.734739386";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636039641";"276298135";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.734756998";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636007173";"276298136";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.734806507";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.63641954";"276298137";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.734184574";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 19, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636250107";"276298138";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.778899615";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 20, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.557484154";"276298139";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.778839709";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55927219";"276298140";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.778867029";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559303071";"276298141";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.779317813";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560195304";"276298142";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.779027574";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559966833";"276298144";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.778691863";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559692209";"276298145";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.778347356";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559433859";"276298146";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.777877281";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559196091";"276298148";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.779294503";"Городской Wi-Fi";"Северный административный округ";"район Беговой";"город Москва, Беговая улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.565888533";"276298149";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.748995827";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Берниковская набережная, дом 12, строение 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.648622762";"276298150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.741110045";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60873763";"276298151";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.741101062";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневская набережная, дом 8, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.608737949";"276298152";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.7407729";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Берсеневский переулок, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.610708915";"276298153";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.764958107";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Бобров переулок, дом 8, строение 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635048502";"276298154";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.763378102";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598461369";"276298156";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.76337792";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 16/6, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598445437";"276298157";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762132616";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600354848";"276298158";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762141962";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600386389";"276298160";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762584463";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59899986";"276298161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762628831";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.598950454";"276298162";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762361083";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Богословский переулок, дом 8/15, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599900399";"276298163";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.756165311";"Городской Wi-Fi";"Центральный административный округ";"Тверской район";"город Москва, Богоявленский переулок, дом 2, строение 4";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.62338815";"276298164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.745141304";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 18, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618774048";"276298165";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.743324911";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.615476946";"276298166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.739825372";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.60956385";"276298168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.739807767";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная набережная, дом 3, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.609596334";"276298169";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.744585907";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 5/16";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.614938437";"276298170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.746452779";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Болотная улица, дом 10";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.618727711";"276298171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.744822156";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Серафимовича, дом 2, строение 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.613575947";"276298173";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.754811312";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, Борисоглебский переулок, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.590354973";"276298174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.754802147";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, Борисоглебский переулок, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.590339368";"276298175";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.768091501";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Боярский переулок, дом 4, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.647802786";"276298176";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.773476226";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, 2-я Брестская улица, дом 37, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.585695667";"276298177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.773978692";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, 2-я Брестская улица, дом 37, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.584848445";"276298178";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.774529553";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, 2-я Брестская улица, дом 43";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.584302363";"276298180";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.736942156";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Бродников переулок, дом 10, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.616053339";"276298181";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.736941977";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, Бродников переулок, дом 10, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.616037417";"276298182";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.763134125";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Тверской бульвар, дом 25, строение 6";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.601498403";"276298183";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.762773103";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, Большая Бронная улица, дом 17";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.600570974";"276298185";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.725300712";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563250745";"276298186";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.725073867";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.5638323";"276298187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.725073681";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.563816384";"276298188";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.726257077";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561272969";"276298189";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.726245112";"Городской Wi-Fi";"Центральный административный округ";"район Хамовники";"город Москва, улица 10-летия Октября, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.561018635";"276298190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.758336202";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558020287";"276298191";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.758318237";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55802095";"276298193";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.763119337";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558991311";"276298194";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.76311915";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.55897538";"276298195";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.76242655";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559686266";"276298196";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.761628437";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.559062239";"276298197";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.760930249";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 7, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.558530175";"276298199";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.763024594";"Городской Wi-Fi";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.560875534";"276298200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.735676906";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 11";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.671571928";"276298201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.737422484";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67261164";"276298202";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.737377397";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672597243";"276298203";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.736625621";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Абельмановская улица, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.672049376";"276298205";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.720979707";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603896982";"276298206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.720988509";"Городской Wi-Fi";"Центральный административный округ";"район Якиманка";"город Москва, улица Академика Петровского, дом 5, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.603880747";"276298207";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.769506174";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, проспект Академика Сахарова, дом 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.643258502";"276298208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.771767503";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 12";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634045324";"276298209";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.771004801";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636574806";"276298210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.771022943";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636590114";"276298211";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.771686569";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 6";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635658269";"276298213";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.77125695";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.635003732";"276298215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.771274207";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Ананьевский переулок, дом 5, строение 7";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634939362";"276298216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.74170953";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673501516";"276298217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.741619873";"Городской Wi-Fi";"Центральный административный округ";"Таганский район";"город Москва, Малая Андроньевская улица, дом 24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.673520487";"276298218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749688975";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591909937";"276298219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749680578";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 26";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.591177328";"276298220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.74984565";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59303553";"276298221";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749817243";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 31";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59290909";"276298222";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749218265";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 37/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.59082754";"276298223";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749060331";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588029094";"276298224";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.749069313";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 38/1, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58802877";"276298227";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.752108738";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599200126";"276298228";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.752099574";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.599184521";"276298229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.748513125";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 40";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58811259";"276298230";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.748649309";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 43";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.58901582";"276298231";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.747956571";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 45/24";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.588164557";"276298232";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.748174363";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 47/23";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.587567197";"276298233";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55.74774523";"Городской Wi-Fi";"Центральный административный округ";"район Арбат";"город Москва, улица Арбат, дом 51, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.586196612";"276298234";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
